race;interval;id;Rank;Bib;LastName;FirstName;Team;Nation;YOB;Sex;AgeClass;AcRank;NetTime;GunTime;Age;NetMins;GunMins
21k;10K;NA;NA;F8199;NA;NA;"NA";"SUI";1961;W;50;NA;"00:54:53";"NA";53;54.8833;NA
21k;10K;NA;NA;F7584;NA;NA;"Ifl Hof";"GER";1963;W;50;NA;"01:09:03";"NA";51;69.05;NA
21k;10K;NA;NA;F3215;NA;NA;"NA";"GER";1960;W;50;NA;"01:07:01";"NA";54;67.0167;NA
21k;10K;NA;NA;F6992;NA;NA;"SV 1916 Beuna";"GER";1957;W;55;NA;"00:56:24";"NA";57;56.4;NA
21k;10K;NA;NA;F2319;NA;NA;"VfL Lingen L-L-L";"GER";1964;W;50;NA;"01:05:37";"NA";50;65.6167;NA
21k;10K;NA;NA;F9379;NA;NA;"Garpur";"ISL";1963;W;50;NA;"00:52:16";"NA";51;52.2667;NA
21k;10K;NA;NA;F9138;NA;NA;"Die-Lauf-Abc-ler";"GER";1962;W;50;NA;"01:02:55";"NA";52;62.9167;NA
21k;10K;NA;NA;F4936;NA;NA;"NA";"GER";1964;W;50;NA;"01:10:41";"NA";50;70.6833;NA
21k;10K;NA;NA;F2647;NA;NA;"Jahn Calden";"GER";1963;W;50;NA;"01:05:14";"NA";51;65.2333;NA
21k;10K;NA;NA;F3197;NA;NA;"Turnerbund Hamburg Eilbeck";"GER";1963;W;50;NA;"00:46:03";"NA";51;46.05;NA
21k;10K;NA;NA;F3027;NA;NA;"NA";"NED";1957;W;55;NA;"01:12:00";"NA";57;72;NA
21k;10K;NA;NA;F8206;NA;NA;"Vuif";"DEN";1960;W;50;NA;"01:10:08";"NA";54;70.1333;NA
21k;10K;NA;NA;F10589;NA;NA;"Sve Wiefelstede";"GER";1960;W;50;NA;"01:01:24";"NA";54;61.4;NA
21k;10K;NA;NA;F6124;NA;NA;"NA";"NED";1964;W;50;NA;"00:55:54";"NA";50;55.9;NA
21k;10K;NA;NA;F10764;NA;NA;"LC Dosse Wittstock";"GER";1962;W;50;NA;"00:59:47";"NA";52;59.7833;NA
21k;10K;NA;NA;F8674;NA;NA;"Fribifunrunners";"GER";1964;W;50;NA;"00:58:31";"NA";50;58.5167;NA
